"COD_UF","NOME_UF","COD_MUNICIPIO","ANO","COD_MESO","NOME_MESO","COD_MICRO","NOME_MICRO","NOME_MUNICIPIO","numero.matriculas","IFDM","receita"
25,"Paraíba",2500106,2011,2501,"Sertão Paraibano",250107,"Serra do Teixeira","Água Branca",2036,0.569221001805616,"13,883,623.18"
25,"Paraíba",2500205,2011,2501,"Sertão Paraibano",250105,"Piancó","Aguiar",991,0.560721312374741,"10,305,673.85"
25,"Paraíba",2500304,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Grande",5232,0.591376098284881,"37,137,938.64"
25,"Paraíba",2500403,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Alagoa Nova",3505,0.583521015546026,"26,592,113.01"
25,"Paraíba",2500502,2011,2503,"Agreste Paraibano",250316,"Guarabira","Alagoinha",2329,0.588932404868108,"18,879,588.26"
25,"Paraíba",2500536,2011,2502,"Borborema",250211,"Cariri Oriental","Alcantil",998,0.601436128978119,"9,544,957.90"
25,"Paraíba",2500577,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Algodão de Jandaíra",798,0.579977805070005,"8,171,604.89"
25,"Paraíba",2500601,2011,2504,"Mata Paraibana",250423,"Litoral Sul","Alhandra",3146,0.639466719784141,"38,650,341.51"
25,"Paraíba",2500734,2011,2502,"Borborema",250210,"Cariri Ocidental","Amparo",500,0.547443336581728,"7,693,035.91"
25,"Paraíba",2500775,2011,2501,"Sertão Paraibano",250103,"Sousa","Aparecida",1285,0.551760388689351,"10,023,043.08"
25,"Paraíba",2500809,2011,2503,"Agreste Paraibano",250316,"Guarabira","Araçagi",3021,0.556714214398096,"22,311,778.22"
25,"Paraíba",2500908,2011,2503,"Agreste Paraibano",250312,"Curimataú Ocidental","Arara",2039,0.532363673810597,"15,208,331.07"
25,"Paraíba",2501005,2011,2503,"Agreste Paraibano",250313,"Curimataú Oriental","Araruna",3509,0.608969063042481,"25,060,041.02"
25,"Paraíba",2501104,2011,2503,"Agreste Paraibano",250315,"Brejo Paraibano","Areia",3219,0.565549066715933,"26,322,595.74"
25,"Paraíba",2501153,2011,2501,"Sertão Paraibano",250104,"Patos","Areia de Baraúnas",433,0.61167131071315,"7,610,611.16"
25,"Paraíba",2501203,2011,2503,"Agreste Paraibano",250314,"Esperança","Areial",1468,0.644566106343872,"9,966,892.34"
25,"Paraíba",2501302,2011,2503,"Agreste Paraibano",250319,"Umbuzeiro","Aroeiras",4603,NA,"26,063,080.24"
